ts,lp,votes,emissions,bribes,fees,chain_id,chain_name,chain_key,bribes_usd,fees_usd,total_incentives_usd
1769040000,0x6d5BA400640226e24b50214d2bBb3D4Db8e6e15a,119141.38770169015,0.00111549996770858,[],"[('0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9', 280858609210820038)]",10,Optimism,op,0.0,0.21,0.21
1769040000,0x7178F61694ba9109205B8d6F686282307625e62D,77675.02480872003,0.000727257667023641,[],"[('0x1F32b1c2345538c0c6f582fCB022739c4A194Ebb', 1461121092961258), ('0x4200000000000000000000000000000000000042', 17961999457617719740)]",10,Optimism,op,0.0,10.57,10.57
1769040000,0x3f42Dc59DC4dF5cD607163bC620168f7FF7aB970,9800.17656446038,9.1758248980337e-05,[],"[('0x4200000000000000000000000000000000000006', 489008916756056), ('0x6806411765Af15Bddd26f8f544A34cC40cb9838B', 514865119185921)]",10,Optimism,op,0.0,2.92,2.92
1769040000,0x1f8b46abe1EAbF5A60CbBB5Fb2e4a6A46fA0b6e6,20462.65521564497,0.000191590161639025,[],"[('0x2E3D870790dC77A83DD1d18184Acc7439A53f475', 134795528984872510), ('0x8aE125E8653821E851F12A49F7765db9a9ce7384', 14455798490253333)]",10,Optimism,op,0.0,0.15,0.15
1769040000,0xDFF90E4A6c229565f25337B1DB9fA12f6d8cB118,110111.44403611071,0.001158040097617721,[],"[('0x217D47011b23BB961eB6D93cA9945B7501a5BB11', 61461766482811018394), ('0x4200000000000000000000000000000000000006', 5380269839771797)]",10,Optimism,op,0.0,30.85,30.85
1769040000,0xe9581d0F1A628B038fC8B2a7F5A7d904f0e2f937,3795120.6779581625,0.03637690866805961,[],"[('0x4200000000000000000000000000000000000042', 498043813906394730629), ('0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db', 8417459878183684259814)]",10,Optimism,op,0.0,311.25,311.25
1769040000,0x60BE3FB22DDF30C17604b86eC005F6173B1170Aa,1080923.8052249027,0.010120600888792427,[],"[('0x4200000000000000000000000000000000000042', 82419911718070935842), ('0xCB8FA9a76b8e203D8C3797bF438d8FB81Ea3326A', 22994073844440981921)]",10,Optimism,op,0.0,47.22,47.22
1769040000,0xA5EDb0EF932f7c2f37B8FC75CB01948F6258a4f8,1118250.7067350307,0.010470193496719562,[],"[('0x3E29D3A9316dAB217754d13b28646B76607c5f04', 4022035937724875), ('0x4200000000000000000000000000000000000042', 38795581121950785923)]",10,Optimism,op,0.0,22.81,22.81
1769040000,0xC4270d957C218d263e7FAE5a3bEEDC1E98B6012D,55474.34954611029,0.000519406936525244,[],"[('0x1DB2466d9F5e10D7090E7152B68d62703a2245F0', 126707687507993798473), ('0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db', 6454631244578634503)]",10,Optimism,op,0.0,0.17,0.17
1769040000,0x62191C893DF8d26aC295BA1274a00975dc07190C,10236199.62258743,0.09553925256615621,"[('0x676f784d19c7F1Ac6C6BeaeaaC78B02a73427852', 2130000000000000000000000)]","[('0x4200000000000000000000000000000000000006', 6205706317420462), ('0x676f784d19c7F1Ac6C6BeaeaaC78B02a73427852', 95041144972413630176641)]",10,Optimism,op,641.13,46.81,687.94
